year,month,plot_code,date,lai,comment
2003,1,KOG-01,2003-01-15T00:00:00Z,1.292094938792537,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,2,KOG-01,2003-02-15T00:00:00Z,1.6419548545173661,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,3,KOG-01,2003-03-15T00:00:00Z,1.9357612948431506,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,4,KOG-01,2003-04-15T00:00:00Z,2.2254734869941237,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,5,KOG-01,2003-05-15T00:00:00Z,2.4503016594634843,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,7,KOG-01,2003-07-15T00:00:00Z,2.6346425089657433,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,8,KOG-01,2003-08-15T00:00:00Z,2.608030131818354,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,9,KOG-01,2003-09-15T00:00:00Z,2.5775278012214136,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,10,KOG-01,2003-10-15T00:00:00Z,2.3007146253077613,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,11,KOG-01,2003-11-15T00:00:00Z,1.9894847332912802,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,12,KOG-01,2003-12-15T00:00:00Z,1.5896587047052082,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,1,KOG-01,2004-01-15T00:00:00Z,1.2291267547693305,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,3,KOG-01,2004-03-15T00:00:00Z,1.596209177360075,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,4,KOG-01,2004-04-15T00:00:00Z,1.9322414746473124,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,5,KOG-01,2004-05-15T00:00:00Z,2.2791972286347564,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,6,KOG-01,2004-06-15T00:00:00Z,2.499755917749106,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,7,KOG-01,2004-07-15T00:00:00Z,2.6351034560846336,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,9,KOG-01,2004-09-15T00:00:00Z,2.525634406087099,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,10,KOG-01,2004-10-15T00:00:00Z,2.304781155450631,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,11,KOG-01,2004-11-15T00:00:00Z,1.8147943899297065,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2004,12,KOG-01,2004-12-15T00:00:00Z,1.3997447851610634,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,1,KOG-01,2005-01-15T00:00:00Z,1.3651710876088203,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,2,KOG-01,2005-02-15T00:00:00Z,1.5931277484870479,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,3,KOG-01,2005-03-15T00:00:00Z,1.8395003261587535,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,4,KOG-01,2005-04-15T00:00:00Z,1.9360212749262498,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,5,KOG-01,2005-05-15T00:00:00Z,1.9451098895552386,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,6,KOG-01,2005-06-15T00:00:00Z,1.7396994038226823,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,7,KOG-01,2005-07-15T00:00:00Z,1.5900890424032428,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,9,KOG-01,2005-09-15T00:00:00Z,1.9525844480696866,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,10,KOG-01,2005-10-15T00:00:00Z,2.0524911699716686,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,11,KOG-01,2005-11-15T00:00:00Z,1.9797676599846927,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2005,12,KOG-01,2005-12-15T00:00:00Z,1.861805131838449,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2006,2,KOG-01,2006-02-15T00:00:00Z,1.630337638994872,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2006,3,KOG-01,2006-03-15T00:00:00Z,1.7382749638213666,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2006,4,KOG-01,2006-04-15T00:00:00Z,1.9270369611046776,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2006,5,KOG-01,2006-05-15T00:00:00Z,2.160650491858927,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2006,6,KOG-01,2006-06-15T00:00:00Z,2.392052535772597,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2006,9,KOG-01,2006-09-15T00:00:00Z,2.5035561746165502,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2006,10,KOG-01,2006-10-15T00:00:00Z,2.337979878162037,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2006,11,KOG-01,2006-11-15T00:00:00Z,1.9045879741395644,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2006,12,KOG-01,2006-12-15T00:00:00Z,1.6047591838121928,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2007,2,KOG-01,2007-02-15T00:00:00Z,1.2814287498084087,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2007,3,KOG-01,2007-03-15T00:00:00Z,1.4306127106797941,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2007,4,KOG-01,2007-04-15T00:00:00Z,1.6807518976155253,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2007,5,KOG-01,2007-05-15T00:00:00Z,1.932226801123204,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2007,6,KOG-01,2007-06-15T00:00:00Z,2.164584466393012,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2007,9,KOG-01,2007-09-15T00:00:00Z,2.5573967168519305,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2007,10,KOG-01,2007-10-15T00:00:00Z,2.2526734370063024,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2007,11,KOG-01,2007-11-15T00:00:00Z,1.8649659957878195,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2007,12,KOG-01,2007-12-15T00:00:00Z,1.3848940602233843,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,1,KOG-01,2008-01-15T00:00:00Z,1.3384566173352115,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,3,KOG-01,2008-03-15T00:00:00Z,1.7994731041511756,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,4,KOG-01,2008-04-15T00:00:00Z,2.0740781667401356,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,5,KOG-01,2008-05-15T00:00:00Z,2.31448269773088,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,6,KOG-01,2008-06-15T00:00:00Z,2.5159244370890765,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,7,KOG-01,2008-07-15T00:00:00Z,2.650309977356356,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,8,KOG-01,2008-08-15T00:00:00Z,2.7267394896615182,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,10,KOG-01,2008-10-15T00:00:00Z,2.5865495368645837,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,11,KOG-01,2008-11-15T00:00:00Z,1.9708381129957668,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2008,12,KOG-01,2008-12-15T00:00:00Z,1.5572497247711148,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,1,KOG-01,2009-01-15T00:00:00Z,1.279971345848042,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,2,KOG-01,2009-02-15T00:00:00Z,1.6178103957120715,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,3,KOG-01,2009-03-15T00:00:00Z,2.048137056774686,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,4,KOG-01,2009-04-15T00:00:00Z,2.3502096420058667,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,5,KOG-01,2009-05-15T00:00:00Z,2.6395874027032837,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,6,KOG-01,2009-06-15T00:00:00Z,2.973141957125054,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,7,KOG-01,2009-07-15T00:00:00Z,3.2367608455287784,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,9,KOG-01,2009-09-15T00:00:00Z,3.519547756697059,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,10,KOG-01,2009-10-15T00:00:00Z,2.961187931608682,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,11,KOG-01,2009-11-15T00:00:00Z,2.2316642351237443,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2009,12,KOG-01,2009-12-15T00:00:00Z,1.632796639724551,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,1,KOG-01,2010-01-15T00:00:00Z,1.1919676845474636,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,2,KOG-01,2010-02-15T00:00:00Z,1.2050595266496424,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,3,KOG-01,2010-03-15T00:00:00Z,1.4042475022305116,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,4,KOG-01,2010-04-15T00:00:00Z,1.8203504658735477,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,5,KOG-01,2010-05-15T00:00:00Z,2.288746490613868,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,6,KOG-01,2010-06-15T00:00:00Z,2.697178136055462,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,7,KOG-01,2010-07-15T00:00:00Z,3.179900229001969,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,8,KOG-01,2010-08-15T00:00:00Z,3.5167731406366656,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,9,KOG-01,2010-09-15T00:00:00Z,3.399605625201313,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,10,KOG-01,2010-10-15T00:00:00Z,3.0576800508952475,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,11,KOG-01,2010-11-15T00:00:00Z,2.300682322514527,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2010,12,KOG-01,2010-12-15T00:00:00Z,1.6053680939042767,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,1,KOG-01,2011-01-15T00:00:00Z,1.1109884742996077,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,2,KOG-01,2011-02-15T00:00:00Z,1.4275631329969583,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,3,KOG-01,2011-03-15T00:00:00Z,1.898929517266131,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,4,KOG-01,2011-04-15T00:00:00Z,2.5543761878677134,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,5,KOG-01,2011-05-15T00:00:00Z,2.942430042557341,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,6,KOG-01,2011-06-15T00:00:00Z,3.147680232937163,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,7,KOG-01,2011-07-15T00:00:00Z,2.9684230442838966,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,8,KOG-01,2011-08-15T00:00:00Z,2.6737556436198773,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,9,KOG-01,2011-09-15T00:00:00Z,2.403326602971979,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,10,KOG-01,2011-10-15T00:00:00Z,2.11645461400548,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,11,KOG-01,2011-11-15T00:00:00Z,1.8408859381569902,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2011,12,KOG-01,2011-12-15T00:00:00Z,1.6446714461093297,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,3,KOG-01,2012-03-15T00:00:00Z,1.70765686188198,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,4,KOG-01,2012-04-15T00:00:00Z,2.194142018727498,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,5,KOG-01,2012-05-15T00:00:00Z,2.702387516955533,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,6,KOG-01,2012-06-15T00:00:00Z,3.0366337349753776,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,7,KOG-01,2012-07-15T00:00:00Z,3.2190599469734007,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,8,KOG-01,2012-08-15T00:00:00Z,3.184555553105932,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,9,KOG-01,2012-09-15T00:00:00Z,2.977248761249113,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,10,KOG-01,2012-10-15T00:00:00Z,2.571300485346929,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,11,KOG-01,2012-11-15T00:00:00Z,2.1944501316950413,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2012,12,KOG-01,2012-12-15T00:00:00Z,1.9800802017460182,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2013,3,KOG-01,2013-03-15T00:00:00Z,2.1648923606999007,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2013,4,KOG-01,2013-04-15T00:00:00Z,2.3102118717913456,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2013,5,KOG-01,2013-05-15T00:00:00Z,2.4323627433734853,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2013,6,KOG-01,2013-06-15T00:00:00Z,2.512750250947432,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2013,8,KOG-01,2013-08-15T00:00:00Z,2.5937248474696095,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2013,9,KOG-01,2013-09-15T00:00:00Z,2.5232883792053133,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2013,10,KOG-01,2013-10-15T00:00:00Z,2.2199200497847,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2013,11,KOG-01,2013-11-15T00:00:00Z,1.8640386615563003,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2013,12,KOG-01,2013-12-15T00:00:00Z,1.5888053099398776,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2014,1,KOG-01,2014-01-15T00:00:00Z,1.5467356531105787,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2014,3,KOG-01,2014-03-15T00:00:00Z,1.703751329105391,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2014,4,KOG-01,2014-04-15T00:00:00Z,1.856151854892294,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2014,5,KOG-01,2014-05-15T00:00:00Z,2.016159997762969,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2014,8,KOG-01,2014-08-15T00:00:00Z,2.163988016627746,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2014,10,KOG-01,2014-10-15T00:00:00Z,2.1252240330761154,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2014,11,KOG-01,2014-11-15T00:00:00Z,1.9827101780737104,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2014,12,KOG-01,2014-12-15T00:00:00Z,1.8468143258488638,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2015,2,KOG-01,2015-02-15T00:00:00Z,1.6111078073876253,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2015,3,KOG-01,2015-03-15T00:00:00Z,1.8351417484592887,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2015,4,KOG-01,2015-04-15T00:00:00Z,2.1321179877444485,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2015,5,KOG-01,2015-05-15T00:00:00Z,2.3053761862501325,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2015,7,KOG-01,2015-07-15T00:00:00Z,2.5518042293827774,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2015,8,KOG-01,2015-08-15T00:00:00Z,2.485332776787341,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2015,10,KOG-01,2015-10-15T00:00:00Z,2.12835920871279,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2015,11,KOG-01,2015-11-15T00:00:00Z,1.8552519198800268,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2015,12,KOG-01,2015-12-15T00:00:00Z,1.6381331639727335,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2016,2,KOG-01,2016-02-15T00:00:00Z,1.5037346383857964,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2016,4,KOG-01,2016-04-15T00:00:00Z,1.8465850220835411,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2016,5,KOG-01,2016-05-15T00:00:00Z,2.003407024995846,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2016,7,KOG-01,2016-07-15T00:00:00Z,2.055938606631985,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2016,9,KOG-01,2016-09-15T00:00:00Z,1.9527129043262939,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2016,10,KOG-01,2016-10-15T00:00:00Z,1.8580740665703175,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2016,11,KOG-01,2016-11-15T00:00:00Z,1.7543681790577137,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2016,12,KOG-01,2016-12-15T00:00:00Z,1.5305770975890534,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2017,1,KOG-01,2017-01-15T00:00:00Z,1.3495183036541818,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2017,3,KOG-01,2017-03-15T00:00:00Z,1.6831074525159408,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2017,4,KOG-01,2017-04-15T00:00:00Z,2.0796712789314378,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2017,5,KOG-01,2017-05-15T00:00:00Z,2.45718281626408,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2017,6,KOG-01,2017-06-15T00:00:00Z,2.627529642608075,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2017,7,KOG-01,2017-07-15T00:00:00Z,2.6669027440197723,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2017,9,KOG-01,2017-09-15T00:00:00Z,2.274150887005114,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2017,10,KOG-01,2017-10-15T00:00:00Z,1.8775469939432718,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,1,KOG-03,2003-01-15T00:00:00Z,0.9665759070647001,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,2,KOG-03,2003-02-15T00:00:00Z,1.3172203252812007,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,3,KOG-03,2003-03-15T00:00:00Z,1.6110581188579212,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,5,KOG-03,2003-05-15T00:00:00Z,2.1620107176033296,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,6,KOG-03,2003-06-15T00:00:00Z,2.374346003764071,LOESS span=0.07 smoothed from MODc6 qaqc filtered
2003,7,KOG-03,2003-07-15T00:00:00Z,2.5641383071600843,LOESS span=0.07 smoothed from MODc6 qaqc filtered
